DI,StructuralIntegrity,ExteriorCharm
1209,7,Common
1210,5,Gleaming
1211,5,Common
1212,5,Common
1213,6,Gleaming
1213,6,Gleaming
1214,8,Common
1215,5,Common
1216,5,Gleaming
1217,7,Common
1218,5,Gleaming
1219,7,Common
1220,5,Gleaming
1221,5,Gleaming
1222,5,Gleaming
1223,5,Common
1224,5,Common
1225,5,Gleaming
1226,4,Common
1227,9,Gleaming
1228,5,Common
1229,9,Enchanting
1230,5,Enchanting
1231,6,Common
1232,5,Gleaming
1233,9,Common
1234,5,Common
1235,7,Common
1236,5,Common
1237,5,Common
1238,6,Common
1239,7,Common
1240,6,Common
1241,6,Modest
1242,8,Common
1243,7,Common
1244,4,Common
1245,5,Gleaming
1246,5,Gleaming
1247,5,Gleaming
1248,7,Common
1249,5,Common
1250,8,Common
1251,5,Gleaming
1252,7,Common
1253,6,Common
1254,5,Common
1255,6,Common
1256,5,Gleaming
1257,5,Gleaming
1258,5,Gleaming
1259,5,Gleaming
1260,5,Gleaming
1261,6,Common
1262,5,Common
1263,5,Enchanting
1264,5,Gleaming
1265,7,Common
1266,4,Common
1267,7,Common
1268,4,Common
1269,6,Common
1270,5,Gleaming
1271,5,Gleaming
1272,7,Common
1273,5,Common
1274,5,Gleaming
1275,7,Modest
1276,5,Common
1277,6,Common
1278,5,Gleaming
1279,5,Gleaming
1280,4,Modest
1281,6,Common
1282,5,Gleaming
1283,5,Modest
1284,5,Gleaming
1285,5,Gleaming
1286,5,Gleaming
1287,5,Gleaming
1288,5,Gleaming
1289,6,Common
1290,5,Common
1291,6,Common
1292,6,Common
1293,6,Common
1294,5,Gleaming
1295,6,Common
1296,4,Common
1297,7,Common
1298,5,Common
1299,5,Common
1300,5,Gleaming
1301,5,Common
1302,6,Common
1303,5,Enchanting
1304,5,Common
1305,5,Common
1306,5,Gleaming
1307,5,Gleaming
1308,7,Common
1309,5,Enchanting
1310,6,Common
1311,5,Common
1312,7,Common
1313,6,Gleaming
1314,6,Common
1315,6,Common
1316,7,Common
1317,6,Common
1318,5,Gleaming
1319,6,Common
1320,7,Common
1321,5,Gleaming
1322,7,Common
1323,8,Gleaming
1324,5,Common
1325,5,Common
1326,6,Common
1327,5,Common
1328,7,Common
1329,5,Common
1330,8,Common
1331,7,Gleaming
1332,5,Common
1333,5,Gleaming
1334,5,Gleaming
1335,5,Gleaming
1336,6,Common
1337,6,Common
1338,5,Common
1339,5,Gleaming
1340,6,Common
1341,5,Common
1342,7,Common
1343,5,Gleaming
1344,5,Gleaming
1345,7,Common
1346,5,Common
1347,5,Common
1348,5,Common
1349,6,Modest
1350,7,Gleaming
1351,5,Common
1352,5,Common
1353,5,Common
1354,7,Common
1355,6,Common
1356,5,Gleaming
1357,3,Common
1358,5,Common
1359,7,Common
1360,8,Gleaming
1361,5,Gleaming
1362,5,Common
1363,9,Gleaming
1364,5,Gleaming
1365,5,Gleaming
1366,5,Gleaming
1367,5,Common
1368,5,Gleaming
1369,5,Gleaming
1370,5,Common
1371,7,Common
1372,5,Enchanting
1373,6,Common
1374,5,Common
1375,5,Enchanting
1376,5,Gleaming
1377,5,Gleaming
1378,5,Common
1379,5,Gleaming
1380,5,Gleaming
1381,5,Gleaming
1382,5,Gleaming
1383,7,Gleaming
1384,5,Gleaming
1385,7,Common
1386,5,Common
1387,6,Common
1388,8,Common
1389,5,Gleaming
1390,6,Common
1391,5,Common
1392,5,Common
1393,5,Common
1394,7,Common
1395,5,Enchanting
1396,5,Common
1396,5,Common
1397,5,Enchanting
1398,5,Gleaming
1399,6,Common
1400,5,Gleaming
1401,4,Common
1402,5,Gleaming
1403,5,Gleaming
1404,7,Common
1405,5,Gleaming
1406,5,Common
1407,5,Gleaming
1408,7,Gleaming
1409,5,Gleaming
1410,6,Common
1411,5,Common
1412,5,Gleaming
1413,5,Common
1414,6,Common
1415,5,Common
1416,5,Common
1417,5,Common
1418,6,Common
1419,7,Common
1420,6,Common
1421,5,Common
1422,5,Gleaming
1423,5,Gleaming
1424,5,Gleaming
1425,5,Common
1426,7,Common
1427,6,Common
1428,6,Common
1429,7,Gleaming
1430,3,Common
1431,5,Gleaming
1432,5,Common
1433,5,Common
1434,5,Common
1435,6,Common
1436,7,Common
1437,5,Common
1438,7,Common
1439,5,Common
1440,4,Common
1441,5,Common
1442,5,Gleaming
1443,5,Gleaming
1443,5,Gleaming
1444,5,Enchanting
1445,7,Common
1446,6,Common
1447,5,Enchanting
1448,6,Common
1449,4,Modest
1450,4,Common
1451,5,Gleaming
1452,7,Common
1453,7,Common
1454,5,Gleaming
1455,5,Enchanting
1456,8,Common
1457,5,Gleaming
1458,5,Enchanting
1459,6,Common
1460,5,Gleaming
1461,5,Common
1462,8,Common
1463,5,Gleaming
1464,5,Gleaming
1465,8,Gleaming
1466,8,Common
1467,5,Enchanting
1468,6,Common
1469,7,Common
1470,5,Common
1471,5,Common
1472,5,Common
1473,5,Gleaming
1474,5,Gleaming
1475,5,Common
1476,5,Common
1477,3,Gleaming
1478,4,Common
1479,5,Gleaming
1480,5,Common
1481,5,Gleaming
1482,6,Common
1483,7,Common
1484,5,Common
1485,6,Common
1486,9,Gleaming
1487,3,Common
1488,6,Common
1489,5,Common
1490,7,Common
1491,5,Enchanting
1492,5,Common
1492,5,Common
1493,5,Gleaming
1494,5,Gleaming
1495,5,Enchanting
1496,5,Gleaming
1497,7,Common
1498,5,Common
1499,5,Gleaming
1500,5,Gleaming
1501,5,Enchanting
1502,4,Common
1503,6,Common
1504,5,Gleaming
1505,5,Gleaming
1506,5,Gleaming
1506,5,Gleaming
1507,5,Gleaming
1508,5,Common
1509,6,Common
1510,6,Common
1511,5,Gleaming
1512,5,Gleaming
1513,8,Common
1514,4,Common
1515,5,Common
1516,4,Common
1517,6,Common
1518,9,Enchanting
1519,6,Common
1520,5,Common
1521,5,Gleaming
1522,5,Gleaming
1523,5,Gleaming
1524,5,Gleaming
1525,5,Gleaming
1526,5,Common
1527,5,Common
1528,4,Common
1529,8,Enchanting
1530,5,Gleaming
1531,5,Gleaming
1532,8,Common
1533,7,Common
1534,5,Common
1535,5,Gleaming
1536,6,Common
1537,6,Common
1538,5,Common
1539,7,Common
1540,5,Gleaming
1541,7,Common
1542,5,Gleaming
1543,5,Common
1544,5,Gleaming
1545,6,Common
1546,5,Common
1547,5,Gleaming
1548,5,Gleaming
1549,6,Common
1550,6,Common
1551,7,Common
1552,5,Common
1553,1,Common
1554,5,Common
1555,7,Gleaming
1556,6,Common
1557,5,Common
1558,5,Common
1559,7,Common
1560,5,Gleaming
1561,6,Common
1562,6,Common
1563,6,Common
1564,5,Gleaming
1565,5,Gleaming
1566,5,Common
1567,5,Enchanting
1568,5,Common
1569,5,Common
1570,5,Common
1571,6,Common
1572,6,Common
1573,7,Common
1574,5,Common
1575,5,Gleaming
1576,7,Common
1577,6,Gleaming
1578,5,Gleaming
1579,5,Common
1580,5,Common
1581,5,Gleaming
1582,5,Common
1583,5,Common
1584,5,Gleaming
1585,5,Common
1586,8,Common
1587,5,Enchanting
1588,5,Gleaming
1588,5,Gleaming
1589,5,Gleaming
1590,5,Common
1591,5,Gleaming
1592,6,Common
1593,6,Common
1594,5,Common
1595,9,Gleaming
1596,5,Gleaming
1597,5,Common
1598,3,Common
1599,7,Common
1600,8,Common
1601,5,Gleaming
1602,5,Common
1603,5,Gleaming
1604,5,Gleaming
1605,6,Common
1606,5,Common
1607,5,Common
1608,5,Gleaming
1609,6,Common
1610,6,Common
1611,5,Gleaming
1612,5,Common
1613,6,Common
1613,6,Common
1614,5,Gleaming
1615,6,Common
1616,5,Common
1617,4,Common
1618,5,Gleaming
1619,7,Gleaming
1620,4,Common
1621,5,Gleaming
1622,6,Common
1623,6,Common
1624,7,Modest
1625,5,Gleaming
1626,5,Gleaming
1627,5,Gleaming
1628,5,Common
1629,4,Gleaming
1630,5,Common
1631,5,Common
1632,5,Gleaming
1633,6,Common
1634,5,Gleaming
1635,5,Common
1636,5,Gleaming
1637,4,Common
1637,4,Common
1638,6,Common
1639,5,Common
1640,5,Gleaming
1641,6,Common
1642,5,Enchanting
1643,5,Common
1644,5,Gleaming
1645,7,Common
1646,8,Common
1647,6,Common
1648,6,Common
1649,5,Common
1650,6,Common
1651,6,Common
1652,4,Common
1653,5,Gleaming
1654,6,Common
1655,6,Common
1656,8,Common
1657,5,Common
1658,5,Gleaming
1659,5,Common
1660,3,Modest
1661,4,Common
1662,5,Enchanting
1663,5,Gleaming
1664,7,Common
1665,5,Common
1666,5,Common
1667,5,Enchanting
1668,9,Gleaming
1669,6,Common
1670,5,Gleaming
1671,5,Common
1672,5,Common
1673,4,Common
1674,5,Gleaming
1675,5,Common
1676,5,Gleaming
1677,5,Gleaming
1678,5,Common
1679,5,Gleaming
1680,5,Common
1681,7,Common
1682,5,Common
1682,5,Common
1683,5,Common
1683,5,Common
1684,5,Gleaming
1685,5,Common
1686,5,Common
1687,3,Common
1688,8,Common
1689,5,Enchanting
1690,6,Common
1691,5,Common
1692,5,Gleaming
1693,5,Gleaming
1694,5,Gleaming
1695,5,Common
1696,6,Common
1697,5,Gleaming
1698,5,Common
1699,7,Gleaming
1700,5,Common
1701,5,Common
1702,5,Gleaming
1703,6,Common
1704,5,Gleaming
1705,7,Common
1706,6,Common
1707,5,Common
1708,7,Gleaming
1709,5,Gleaming
1710,9,Common
1711,6,Common
1712,5,Common
1713,5,Gleaming
1714,5,Common
1715,6,Common
1716,5,Gleaming
1717,4,Common
1718,6,Common
1719,7,Common
1720,5,Gleaming
1721,5,Common
1722,6,Common
1723,5,Gleaming
1724,6,Common
1725,7,Common
1726,5,Common
1727,5,Common
1728,5,Gleaming
1729,6,Common
1730,5,Common
1731,7,Gleaming
1732,5,Gleaming
1733,5,Common
1734,3,Common
1735,9,Common
1736,7,Common
1737,6,Common
1738,5,Gleaming
1739,6,Common
1740,5,Enchanting
1741,6,Common
1742,6,Common
1743,5,Common
1744,5,Gleaming
1745,6,Common
1746,5,Common
1747,5,Common
1748,5,Gleaming
1749,6,Common
1750,5,Gleaming
1751,5,Gleaming
1752,7,Common
1753,5,Common
1754,6,Common
1755,5,Common
1756,5,Gleaming
1757,6,Common
1758,7,Common
1759,5,Gleaming
1760,7,Common
1761,6,Common
1762,6,Common
1763,5,Common
1764,5,Gleaming
1765,6,Common
1766,5,Gleaming
1767,5,Gleaming
1768,5,Gleaming
1769,6,Common
1770,5,Gleaming
1771,5,Gleaming
1772,5,Gleaming
1773,5,Common
1774,7,Gleaming
1775,5,Gleaming
1776,6,Common
1777,7,Common
1778,5,Common
1779,7,Common
1780,5,Gleaming
1781,5,Gleaming
1782,6,Common
1783,4,Common
1784,8,Common
1785,5,Common
1786,5,Common
1787,5,Enchanting
1788,5,Common
1789,3,Common
1790,5,Enchanting
1791,8,Common
1792,6,Common
1793,8,Common
1794,5,Gleaming
1795,5,Common
1796,5,Enchanting
1797,5,Enchanting
1798,5,Gleaming
1799,7,Common
1800,5,Common
1801,5,Gleaming
1802,2,Common
1803,5,Common
1804,7,Common
1805,5,Common
1806,5,Common
1807,6,Common
1808,5,Common
1809,5,Common
1810,5,Common
1811,5,Gleaming
1812,5,Common
1813,5,Common
1814,6,Common
1815,5,Common
1816,7,Common
1817,6,Gleaming
1818,5,Common
1819,6,Common
1820,7,Common
1821,5,Gleaming
1822,5,Common
1823,5,Enchanting
1824,6,Common
1825,5,Gleaming
1826,7,Common
1827,8,Common
1828,5,Common
1829,5,Gleaming
1830,5,Gleaming
1831,8,Gleaming
1832,5,Common
1833,8,Gleaming
1834,5,Common
1835,5,Gleaming
1836,5,Common
1837,6,Common
1838,7,Common
1839,7,Gleaming
1840,6,Common
1841,9,Gleaming
1842,6,Common
1843,8,Gleaming
1844,5,Gleaming
1845,8,Common
1846,7,Common
1847,5,Gleaming
1848,6,Common
1849,2,Common
1850,8,Common
1851,6,Gleaming
1852,6,Common
1853,6,Common
1854,5,Common
1855,5,Common
1856,5,Gleaming
1857,5,Gleaming
1858,8,Common
1859,4,Common
1860,5,Gleaming
1861,5,Gleaming
1862,6,Common
1863,5,Gleaming
1864,5,Gleaming
1865,5,Common
1866,6,Common
1867,5,Common
1868,5,Common
1869,5,Enchanting
1870,5,Enchanting
1871,6,Common
1872,7,Common
1873,5,Gleaming
1874,5,Common
1875,5,Gleaming
1876,5,Common
1877,7,Common
1878,9,Common
1879,5,Common
1880,5,Gleaming
1881,5,Common
1882,5,Common
1883,5,Gleaming
1884,6,Common
1885,5,Gleaming
1886,6,Common
1887,3,Common
1888,5,Gleaming
1889,5,Enchanting
1890,5,Common
1891,5,Gleaming
1892,5,Gleaming
1893,7,Gleaming
1894,5,Enchanting
1895,6,Common
1896,5,Gleaming
1897,6,Common
1898,6,Common
1899,9,Common
1900,5,Gleaming
1901,5,Enchanting
1902,5,Common
1903,5,Gleaming
1904,5,Common
1905,6,Common
1906,5,Common
1907,6,Common
1908,5,Gleaming
1909,5,Enchanting
1910,5,Common
1911,7,Common
1912,7,Common
1913,5,Common
1914,5,Common
1915,6,Common
1916,6,Common
1917,5,Gleaming
1918,5,Common
1919,5,Common
1920,6,Common
1921,5,Gleaming
1922,5,Gleaming
1923,7,Common
1924,5,Common
1925,5,Common
1926,5,Gleaming
1927,7,Common
1928,6,Gleaming
1929,5,Common
1930,5,Gleaming
1931,5,Gleaming
1932,6,Common
1933,5,Common
1934,6,Common
1935,5,Enchanting
1936,5,Enchanting
1937,5,Common
1938,5,Gleaming
1939,5,Gleaming
1940,5,Common
1941,6,Common
1942,5,Common
1943,3,Common
1944,6,Common
1945,5,Gleaming
1946,5,Gleaming
1947,5,Gleaming
1948,9,Common
1949,5,Gleaming
1950,5,Common
1951,7,Common
1952,6,Common
1953,6,Common
1954,5,Gleaming
1955,5,Common
1956,5,Gleaming
1957,5,Common
1958,5,Common
1959,7,Common
1960,6,Common
1961,8,Common
1962,3,Common
1963,5,Gleaming
1964,8,Common
1965,8,Gleaming
1966,7,Common
1967,5,Gleaming
1968,5,Common
1969,5,Common
1970,6,Common
1971,5,Common
1972,5,Gleaming
1973,8,Common
1974,5,Common
1975,8,Common
1976,5,Common
1977,7,Common
1978,5,Gleaming
1979,8,Common
1980,5,Enchanting
1981,5,Gleaming
1982,5,Common
1983,7,Common
1984,6,Common
1985,7,Common
1986,5,Common
1987,5,Common
1988,5,Gleaming
1989,5,Gleaming
1990,5,Common
1991,5,Gleaming
1992,6,Common
1993,5,Common
1994,5,Enchanting
1995,8,Gleaming
1996,2,Common
1997,7,Common
1998,5,Common
1999,5,Gleaming
2000,5,Gleaming
2001,5,Common
2002,5,Common
2003,5,Gleaming
2004,6,Gleaming
2005,5,Gleaming
2006,5,Enchanting
2007,5,Gleaming
2008,6,Common
2009,5,Gleaming
2010,5,Common
2011,5,Common
2012,5,Gleaming
2013,6,Common
2014,5,Common
2015,7,Gleaming
2016,7,Common
2017,5,Common
2018,5,Gleaming
2019,7,Common
2020,7,Common
2021,5,Common
2022,5,Gleaming
2023,5,Gleaming
2024,5,Common
2025,5,Common
2026,5,Common
2027,8,Common
2028,5,Gleaming
2029,7,Common
2030,5,Gleaming
2031,5,Gleaming
2032,5,Gleaming
2033,5,Common
2034,5,Common
2035,5,Gleaming
2036,5,Gleaming
2037,5,Common
2038,8,Common
2039,5,Common
2040,5,Gleaming
2041,5,Common
2042,8,Common
2043,5,Gleaming
2044,5,Common
2045,6,Common
2046,5,Gleaming
2047,5,Gleaming
2048,5,Gleaming
2049,5,Common
2050,5,Common
2051,6,Common
2052,5,Common
2053,5,Gleaming
2054,5,Common
2055,8,Common
2056,5,Gleaming
2057,5,Gleaming
2058,7,Common
2059,5,Gleaming
2060,5,Gleaming
2061,5,Gleaming
2062,7,Gleaming
2063,5,Common
2064,8,Common
2065,8,Common
2066,7,Common
2067,7,Common
2068,6,Gleaming
2069,6,Gleaming
2070,6,Gleaming
2071,6,Common
2072,7,Common
2073,6,Common
2074,7,Common
2074,7,Common
2075,4,Common
2076,5,Common
2077,5,Common
2078,7,Common
2079,5,Common
2080,7,Common
2081,5,Gleaming
2082,6,Common
2083,5,Gleaming
2084,5,Gleaming
2085,7,Gleaming
2086,5,Gleaming
2087,7,Common
2088,6,Common
2089,6,Common
2090,6,Common
2091,6,Common
2092,6,Common
2093,8,Common
2094,5,Common
2095,5,Gleaming
2096,5,Gleaming
2097,5,Common
2098,8,Common
2099,5,Common
2100,7,Common
2101,6,Common
2102,5,Gleaming
2103,5,Gleaming
2104,5,Common
2105,6,Common
2106,5,Common
2107,5,Gleaming
2108,5,Gleaming
2109,7,Common
2110,8,Gleaming
2111,5,Gleaming
2112,5,Common
2113,5,Gleaming
2114,6,Common
2115,5,Gleaming
2116,7,Common
2117,7,Gleaming
2118,7,Common
2119,7,Common
2120,5,Enchanting
2121,6,Gleaming
2122,5,Gleaming
2123,5,Gleaming
2124,5,Common
2125,6,Common
2126,6,Common
2127,6,Common
2128,7,Common
2129,5,Common
2130,7,Common
2131,5,Gleaming
2132,5,Gleaming
2133,5,Gleaming
2134,8,Common
2135,5,Gleaming
2136,7,Common
2137,5,Gleaming
2138,6,Common
2139,6,Common
2140,9,Enchanting
2141,5,Common
2142,5,Common
2143,6,Common
2144,5,Common
2145,6,Common
2146,5,Common
2147,5,Gleaming
2148,8,Common
2149,7,Common
2150,6,Common
2151,4,Common
2152,5,Gleaming
2153,5,Gleaming
2154,5,Gleaming
2155,5,Common
2156,4,Common
2157,6,Common
2158,4,Gleaming
2159,5,Common
2160,7,Modest
2161,7,Common
2162,5,Gleaming
2163,5,Common
2164,3,Common
2165,5,Gleaming
2166,5,Gleaming
2167,5,Gleaming
2168,5,Gleaming
2169,8,Common
2170,5,Gleaming
2171,5,Gleaming
2172,9,Gleaming
2173,6,Common
2174,7,Common
2175,5,Gleaming
2176,4,Common
2177,5,Enchanting
2178,5,Common
2179,5,Common
2180,5,Common
2181,8,Common
2182,5,Enchanting
2183,5,Common
2184,6,Common
2185,5,Common
2186,8,Common
2187,5,Common
2188,5,Gleaming
2189,5,Common
2190,5,Gleaming
2190,5,Gleaming
2191,6,Common
2192,5,Enchanting
2193,8,Common
2194,4,Modest
2195,3,Modest
2196,5,Gleaming
2197,6,Common
2198,9,Gleaming
2199,5,Common
2200,3,Common
2201,5,Common
2202,5,Common
2203,6,Common
2204,5,Gleaming
2205,5,Common
2206,5,Gleaming
2207,6,Common
2208,5,Gleaming
2209,5,Common
2210,5,Modest
2211,3,Common
2212,5,Gleaming
2213,5,Gleaming
2214,5,Common
2215,7,Common
2216,7,Common
2217,8,Common
2218,7,Common
2219,5,Common
2220,5,Gleaming
2221,5,Gleaming
2222,6,Gleaming
2223,6,Gleaming
2224,7,Common
2225,8,Common
2226,5,Gleaming
2227,5,Gleaming
2228,5,Gleaming
2229,6,Common
2230,5,Common
2231,5,Common
2232,5,Common
2233,6,Common
2234,5,Gleaming
2235,7,Common
2236,7,Common
2237,5,Gleaming
2238,6,Common
2239,5,Common
2240,5,Gleaming
2241,6,Common
2242,7,Common
2243,6,Common
2244,5,Enchanting
2245,5,Common
2246,7,Common
2247,5,Gleaming
2248,5,Gleaming
2249,6,Gleaming
2250,7,Gleaming
2250,7,Gleaming
2251,6,Common
2252,5,Common
2253,5,Enchanting
2254,6,Common
2255,5,Enchanting
2256,5,Gleaming
2257,5,Common
2258,6,Common
2259,5,Common
2260,6,Common
2261,5,Common
2262,6,Common
2263,6,Common
2264,8,Common
2265,4,Gleaming
2266,5,Common
2267,6,Common
2268,6,Common
2269,5,Gleaming
2270,5,Common
2271,9,Gleaming
2272,5,Gleaming
2273,7,Common
2274,7,Common
2275,6,Common
2276,3,Common
2277,7,Gleaming
2278,5,Common
2279,4,Common
2280,5,Enchanting
2281,7,Common
2282,6,Common
2283,5,Gleaming
2284,5,Gleaming
2285,5,Common
2286,7,Common
2287,5,Common
2288,7,Common
2289,5,Common
2290,5,Common
2291,6,Common
2292,5,Gleaming
2293,5,Common
2294,5,Gleaming
2295,5,Gleaming
2296,5,Gleaming
2297,6,Common
2298,5,Enchanting
2299,5,Gleaming
2300,5,Gleaming
2301,3,Gleaming
2302,5,Gleaming
2303,5,Gleaming
2304,8,Common
2305,5,Gleaming
2306,5,Common
2307,5,Common
2308,7,Common
2309,5,Gleaming
2310,5,Gleaming
2311,5,Common
2312,6,Common
2313,7,Common
2314,5,Common
2315,6,Common
2316,7,Common
2317,5,Gleaming
2318,5,Common
2319,7,Common
2320,6,Common
2321,5,Common
2322,5,Common
2323,5,Common
2324,7,Common
2325,5,Common
2326,9,Common
2327,5,Common
2328,5,Common
2329,6,Gleaming
2330,5,Common
2331,7,Common
2332,5,Enchanting
2333,5,Common
2334,5,Enchanting
2335,5,Gleaming
2336,5,Common
2337,5,Common
2338,5,Gleaming
2339,5,Gleaming
